"year","league","franchID","division","leagueWin","worldSeriesWin","ERA","fieldingPct","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors"
2012,"AL","TEX","West","N","N",3.99,0.986,"Texas Rangers",57.4074074074074,4.98765432098765,9.41975308641975,15.3888888888889,1.23456790123457,2.95061728395062,4.3641975308642,8.50617283950617,1.08024691358025,2.75308641975309,0.524691358024691
2012,"AL","TOR","East","N","N",4.64,0.984,"Toronto Blue Jays",45.0617283950617,4.41975308641975,8.30864197530864,13.7716049382716,1.22222222222222,2.91975308641975,4.83950617283951,8.88271604938272,1.25925925925926,3.54320987654321,0.623456790123457
2012,"NL","WSN","East","N","N",3.33,0.985,"Washington Nationals",60.4938271604938,4.51234567901235,9.06172839506173,14.820987654321,1.19753086419753,2.95679012345679,3.66666666666667,8,0.796296296296296,3.0679012345679,0.580246913580247
2013,"NL","ARI","West","N","N",3.92,0.988,"Arizona Diamondbacks",50,4.22839506172839,9.06172839506173,13.716049382716,0.802469135802469,3.2037037037037,4.29012345679012,9.01234567901234,1.08641975308642,2.99382716049383,0.462962962962963
2013,"NL","ATL","East","N","N",3.18,0.986,"Atlanta Braves",59.2592592592593,4.24691358024691,8.35802469135803,13.4938271604938,1.11728395061728,3.34567901234568,3.38271604938272,8.18518518518519,0.783950617283951,2.52469135802469,0.524691358024691
2013,"AL","BAL","East","N","N",4.2,0.991,"Baltimore Orioles",52.4691358024691,4.59876543209877,9.01234567901234,14.9506172839506,1.30864197530864,2.5679012345679,4.37654320987654,8.87654320987654,1.24691358024691,2.91975308641975,0.333333333333333
2013,"AL","BOS","East","Y","Y",3.79,0.987,"Boston Red Sox",59.8765432098765,5.26543209876543,9.66666666666667,15.5617283950617,1.09876543209877,3.58641975308642,4.04938271604938,8.4320987654321,0.962962962962963,3.23456790123457,0.493827160493827
2013,"AL","CHW","Central","N","N",3.98,0.98,"Chicago White Sox",38.8888888888889,3.69135802469136,8.54938271604938,12.9876543209877,0.91358024691358,2.53703703703704,4.46296296296296,8.79012345679012,1.12345679012346,3.14197530864198,0.746913580246914
2013,"NL","CHC","Central","N","N",4,0.983,"Chicago Cubs",40.7407407407407,3.71604938271605,8.0679012345679,13.3086419753086,1.06172839506173,2.70987654320988,4.25308641975309,8.22222222222222,0.987654320987654,3.33333333333333,0.617283950617284
2013,"NL","CIN","Central","N","N",3.38,0.988,"Cincinnati Reds",55.5555555555556,4.30864197530864,8.45679012345679,13.2654320987654,0.95679012345679,3.61111111111111,3.6358024691358,7.98765432098765,1.04938271604938,2.68518518518519,0.469135802469136
2013,"AL","CLE","Central","N","N",3.82,0.983,"Cleveland Guardians",56.7901234567901,4.59876543209877,8.58641975308642,13.8271604938272,1.05555555555556,3.46913580246914,4.08641975308642,8.38888888888889,0.907407407407407,3.41975308641975,0.604938271604938
2013,"NL","COL","West","N","N",4.44,0.986,"Colorado Rockies",45.679012345679,4.35802469135802,9.32716049382716,14.462962962963,0.981481481481482,2.6358024691358,4.69135802469136,9.53703703703704,0.839506172839506,3.19135802469136,0.555555555555556
2013,"AL","DET","Central","N","N",3.61,0.987,"Detroit Tigers",57.4074074074074,4.91358024691358,10.0308641975309,15.3765432098765,1.08641975308642,3.27777777777778,3.85185185185185,8.45061728395062,0.790123456790123,2.85185185185185,0.469135802469136
2013,"AL","HOU","West","N","N",4.79,0.979,"Houston Astros",31.4814814814815,3.76543209876543,8.0679012345679,12.6481481481481,0.91358024691358,2.62962962962963,5.23456790123457,9.44444444444444,1.17901234567901,3.80246913580247,0.771604938271605
2013,"AL","KCR","Central","N","N",3.45,0.986,"Kansas City Royals",53.0864197530864,4,8.90740740740741,12.9691358024691,0.691358024691358,2.60493827160494,3.70987654320988,8.4320987654321,0.95679012345679,2.89506172839506,0.524691358024691
2013,"AL","ANA","West","N","N",4.23,0.981,"Los Angeles Angels",48.1481481481481,4.52469135802469,9.11111111111111,14.2962962962963,1.01234567901235,3.2283950617284,4.54938271604938,9.10493827160494,1.03086419753086,3.29012345679012,0.691358024691358
2013,"NL","LAD","West","N","N",3.25,0.982,"Los Angeles Dodgers",56.7901234567901,4.00617283950617,8.9320987654321,13.4320987654321,0.851851851851852,2.93827160493827,3.59259259259259,8.15432098765432,0.783950617283951,2.83950617283951,0.672839506172839
2013,"NL","FLA","East","N","N",3.71,0.986,"Miami Marlins",38.2716049382716,3.16666666666667,7.75925925925926,11.2530864197531,0.58641975308642,2.66666666666667,3.98765432098765,8.49382716049383,0.746913580246914,3.24691358024691,0.54320987654321
2013,"NL","MIL","Central","N","N",3.84,0.981,"Milwaukee Brewers",45.679012345679,3.95061728395062,8.52469135802469,13.4320987654321,0.969135802469136,2.51234567901235,4.24074074074074,8.64814814814815,1.08024691358025,2.87654320987654,0.703703703703704
2013,"AL","MIN","Central","N","N",4.55,0.987,"Minnesota Twins",40.7407407407407,3.79012345679012,8.30864197530864,13.0493827160494,0.932098765432099,3.29012345679012,4.8641975308642,9.82098765432099,1.03703703703704,2.82716049382716,0.5
2013,"AL","NYY","East","N","N",3.94,0.988,"New York Yankees",52.4691358024691,4.01234567901235,8.15432098765432,12.641975308642,0.888888888888889,2.87654320987654,4.14197530864198,8.96296296296296,1.05555555555556,2.69753086419753,0.425925925925926
2013,"NL","NYM","East","N","N",3.77,0.985,"New York Mets",45.679012345679,3.82098765432099,8.1358024691358,12.5617283950617,0.802469135802469,3.16049382716049,4.22222222222222,8.90123456790123,0.938271604938272,2.82716049382716,0.574074074074074
2013,"AL","OAK","West","N","N",3.56,0.983,"Oakland Athletics",59.2592592592593,4.73456790123457,8.66049382716049,14.2716049382716,1.14814814814815,3.53703703703704,3.85802469135802,8.26543209876543,1.00617283950617,2.64197530864198,0.598765432098765
2013,"NL","PHI","East","N","N",4.32,0.984,"Philadelphia Phillies",45.0617283950617,3.76543209876543,8.3641975308642,12.9259259259259,0.864197530864197,2.57407407407407,4.62345679012346,9.04320987654321,0.938271604938272,3.12345679012346,0.598765432098765
